C:\Agilent\ICPMH\1\DATA\181022\181022a_grt_nogas.b\002.d
Intensity Vs Time,CPS
Acquired      : 10/22/2018 12:43:29 PM using Batch 181022a_grt_nogas.b
Time [Sec],Li7,Mg24,Al27,Si29,Ca43,Sc45,Ti49,V51,Cr53,Mn55,Fe57,Co59,Ni60,Zn66,Ga71,Y89,Zr90,Nb93,In115,Sn118,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Pb208,Th232,U238
10.5359,1200.04,1600.07,10502.90,1313519.06,3400.31,2800.21,400.00,1000.03,12404.13,293297.09,500.01,200.00,200.00,600.01,200.00,0.00,0.00,0.00,0.00,0.00,0.00,17408.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.9399,3600.33,1800.08,17007.59,1319780.89,5400.78,3200.27,0.00,1000.03,17007.77,302950.10,2000.11,0.00,200.00,400.00,0.00,200.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.3449,1600.07,2400.15,14505.53,1288997.53,3400.31,1200.04,0.00,600.01,18609.30,266396.42,500.01,0.00,800.02,200.00,0.00,200.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,400.00,0.00,0.00,0.00,0.00
11.7499,1600.07,800.02,17007.59,1303624.41,6000.96,2000.11,400.00,3000.24,14205.42,266903.63,2000.11,200.00,1200.04,400.00,800.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
12.1549,1600.07,2200.13,11003.18,1285539.98,3800.39,2800.21,200.00,800.02,15806.71,312099.73,4500.55,400.00,400.00,0.00,400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.5599,2200.13,2000.10,17508.05,1346724.30,5600.84,2400.15,400.00,1600.07,19410.12,300409.39,3500.33,400.00,600.01,600.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.9649,3200.26,1800.08,16006.73,1372886.97,5200.72,2600.18,200.00,1400.05,15406.38,280603.30,500.01,400.00,400.00,200.00,600.01,0.00,0.00,0.00,0.00,400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.3688,2200.13,1200.04,8501.90,1284090.04,5000.67,1600.07,200.00,600.01,13004.54,288218.57,500.01,400.00,400.00,400.00,400.00,400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.7738,600.01,2000.10,8501.90,1262707.39,5200.72,1400.05,0.00,2000.11,17207.95,264367.74,6000.97,200.00,800.02,400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.1788,1600.07,800.02,18008.52,1320306.70,5000.67,1400.05,200.00,2000.11,12604.27,310066.13,4000.43,600.01,600.01,400.00,400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.5838,2400.15,2400.15,10002.63,1282209.89,4200.47,1200.04,0.00,800.02,13404.83,292281.25,3000.24,200.00,400.00,1600.07,600.01,0.00,200.00,400.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.9888,2000.10,2200.13,18008.52,1282831.30,4200.47,4600.57,0.00,800.02,16607.41,280095.73,2500.17,0.00,1200.04,600.01,200.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.3928,2000.10,1600.07,12003.78,1283548.30,3400.31,1800.09,0.00,1000.03,20611.41,278573.06,2000.11,0.00,1800.09,400.00,400.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.7978,1600.07,1400.05,15005.91,1307687.43,3600.35,1400.05,200.00,2400.15,15206.21,299901.28,1500.06,0.00,1400.05,0.00,1400.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
16.2028,1400.05,1400.05,6501.11,1292837.48,5400.78,1800.09,0.00,1000.03,20411.19,288726.35,3000.24,1000.03,1800.09,400.00,400.00,0.00,0.00,400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16.6077,2000.10,3200.27,12003.78,1369732.16,5600.84,2800.21,0.00,1400.05,14805.89,339066.28,0.00,0.00,400.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.0127,1400.05,1800.08,19009.49,1304261.74,5600.84,1800.09,200.00,1600.07,16407.23,269947.14,1500.06,0.00,800.02,0.00,200.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.4177,3000.23,800.02,9502.37,1349034.65,5800.90,1400.05,0.00,600.01,14405.57,323797.42,3500.33,0.00,1800.09,0.00,400.00,0.00,200.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.8217,1800.08,800.02,20511.05,1321374.23,4000.43,2800.21,400.00,1200.04,19009.70,269947.14,1500.06,400.00,800.02,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
18.2267,1400.05,1400.05,12504.10,1304819.41,4200.47,1800.09,0.00,1800.09,15006.05,337029.66,4000.43,0.00,1400.05,400.00,600.01,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
