Time,7Li,11B,23Na,24Mg,27Al,28Si,31P,35Cl,39K,44Ca,49Ti,51V,52Cr,55Mn,57Fe,59Co,60Ni,63Cu,66Zn,75As,107Ag,118Sn,121Sb,137Ba,139La,140Ce,141Pr,143Nd,147Sm,151Eu,157Gd,159Tb,163Dy,165Ho,167Er,169Tm,171Yb,175Lu,178Hf,181Ta,207Pb,209Bi,232Th,238U,
,dwell time=0.03;xcal factor=73312.10865,dwell time=0.03;xcal factor=75018.26876,dwell time=0.01;xcal factor=80136.7491,dwell time=0.01;xcal factor=80563.28912,dwell time=0.01;xcal factor=81842.90921,dwell time=0.0001;xcal factor=79194.47649,dwell time=0.01;xcal factor=77409.40446,dwell time=0.01;xcal factor=79136.12583,dwell time=0.01;xcal factor=80862.84721,dwell time=0.01;xcal factor=83021.24893,dwell time=0.01;xcal factor=84482.58645,dwell time=0.01;xcal factor=84881.61368,dwell time=0.01;xcal factor=85081.12729,dwell time=0.01;xcal factor=85679.66813,dwell time=0.01;xcal factor=85774.59228,dwell time=0.01;xcal factor=85869.51643,dwell time=0.01;xcal factor=85893.54382,dwell time=0.01;xcal factor=85965.62601,dwell time=0.01;xcal factor=86566.6987,dwell time=0.01;xcal factor=87139.0755,dwell time=0.01;xcal factor=87724.36904,dwell time=0.01;xcal factor=87842.53053,dwell time=0.01;xcal factor=87814.36864,dwell time=0.01;xcal factor=87940.42295,dwell time=0.05;xcal factor=88059.77389,dwell time=0.05;xcal factor=88119.44936,dwell time=0.05;xcal factor=88082.29883,dwell time=0.05;xcal factor=88007.99776,dwell time=0.05;xcal factor=87859.39564,dwell time=0.05;xcal factor=87710.79352,dwell time=0.05;xcal factor=87487.89033,dwell time=0.05;xcal factor=87413.58927,dwell time=0.05;xcal factor=87264.98715,dwell time=0.05;xcal factor=87190.68608,dwell time=0.05;xcal factor=87135.91067,dwell time=0.05;xcal factor=87081.13525,dwell time=0.05;xcal factor=87026.35984,dwell time=0.05;xcal factor=86916.809,dwell time=0.05;xcal factor=86834.64588,dwell time=0.01;xcal factor=86752.48275,dwell time=0.001;xcal factor=86224.29967,dwell time=0.01;xcal factor=86353.42158,dwell time=0.01;xcal factor=87838.32355,dwell time=0.01;xcal factor=88225.68928,
31.47705,166.667777785185,466.675377940388,2000.16001280102,300.003600043201,7402.19104855037,6535489.85450518,23121.3641404658,2400.23042212052,8602.95941803981,70397.6766761065,0,0,49397.4116958642,13407.186251831,300.003600043201,0,1800.12960933187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.04000160006,0,0,0,
32.59991,33.333377777837,666.684444918531,1900.14441097523,500.010000200004,5701.29989637637,5030794.80124712,24123.2548176442,2700.2916314962,9703.76506084361,72912.0281779415,100.0004000016,100.0004000016,43475.4734218603,14808.7667899396,100.0004000016,0,2500.2500250025,0,0,0,0,0,0,0,0,0,0,20.0000160000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33.72301,133.334044448237,500.010000200004,1100.04840212969,0,5601.25468104855,5822739.56611978,21017.6548300572,3700.5476810568,7802.43435952017,73314.3712214515,0,200.0016000128,45482.5963950534,13707.5117164206,200.0016000128,0,3500.49006860961,0,100.0004000016,300.003600043201,0,0,0,0,20.0000160000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34.84608,100.0004000016,400.006400102402,1800.12960933187,300.003600043201,6601.74286011507,7327434.61937784,21919.201220269,2800.31363512713,9703.76506084361,74219.6902832384,0,200.0016000128,49497.8076679519,14308.184281409,200.0016000128,0,2400.23042212052,0,100.0004000016,100.0004000016,0,100.0004000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35.96922,33.333377777837,633.349378184247,1500.09000540032,100.0004000016,6601.74286011507,5585156.13665798,19815.6940296715,2500.2500250025,8903.16952835209,64867.8780684411,0,200.0016000128,48393.4962347255,15109.1259120509,200.0016000128,0,2500.2500250025,0,0,300.003600043201,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37.0921,100.0004000016,466.675377940388,1600.10240655402,400.006400102402,8302.75651516303,4159655.55988719,21418.3340939844,2500.2500250025,8903.16952835209,69593.1906973759,0,200.0016000128,48594.2728894055,13206.9732818928,200.0016000128,0,2400.23042212052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.04000160006,0,0,0,
38.21519,33.333377777837,466.675377940388,1700.11560786133,300.003600043201,6701.7960813498,6218711.94855611,21318.1630749398,3600.51847466035,11004.8421305374,72811.4444346382,0,200.0016000128,48694.6624237518,17812.6826300326,100.0004000016,0,2200.1936170383,0,0,0,0,100.0004000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39.33826,66.6668444449185,600.014400345608,3000.36004320518,400.006400102402,6501.69043951427,5030794.80124712,23021.1794851263,2800.31363512713,8803.09869073914,65471.0102788483,0,200.0016000128,50100.2004008016,14708.648685427,0,0,2100.17641481884,0,0,100.0004000016,0,0,100.0004000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.46131,33.333377777837,333.337777837038,1600.10240655402,400.006400102402,7102.01697282028,4397238.98934899,24824.6260290208,3500.49006860961,9603.68781612139,71101.6442631302,100.0004000016,200.0016000128,52309.2216548153,11905.6670975384,0,0,4300.73972723308,0,100.0004000016,500.010000200004,0,100.0004000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41.58428,100.0004000016,533.344711353842,2600.27042812453,200.0016000128,6401.6388195378,4872405.84827259,23021.1794851263,2300.21161946899,8002.56081946223,70196.5503409547,0,100.0004000016,50200.6020064209,15609.7404780583,200.0016000128,0,3900.60849492521,100.0004000016,0,0,0,100.0004000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0000160000128,0,0,0,0,0,0,0,
